solcap_snp_c2_57360_flanking_seq	chr03	99.010	101	1	0	1	101	40820795	40820695	8.51e-45	182
solcap_snp_c2_32980_flanking_seq	chr11	98.000	100	2	0	1	100	10491844	10491943	1.42e-42	174
solcap_snp_c2_28176_flanking_seq	chr07	99.010	101	1	0	1	101	52491980	52492080	8.51e-45	182
solcap_snp_c2_36838_flanking_seq	chr07	99.010	101	1	0	1	101	3333089	3333189	8.51e-45	182
solcap_snp_c2_36838_flanking_seq	chr12	84.848	99	15	0	3	101	57217107	57217009	2.45e-20	100
solcap_snp_c2_4165_flanking_seq	chr09	99.010	101	1	0	1	101	3915501	3915401	8.51e-45	182
solcap_snp_c1_11122_flanking_seq	chr02	99.010	101	1	0	1	101	22851833	22851733	8.51e-45	182
solcap_snp_c2_34561_flanking_seq	chr07	99.010	101	1	0	1	101	21038852	21038952	8.51e-45	182
solcap_snp_c2_51718_flanking_seq	chr12	99.010	101	1	0	1	101	6181012	6180912	8.51e-45	182
solcap_snp_c1_5587_flanking_seq	chr08	99.010	101	1	0	1	101	57603704	57603804	8.51e-45	182
solcap_snp_c1_15858_flanking_seq	chr09	99.010	101	1	0	1	101	55124534	55124634	8.51e-45	182
solcap_snp_c2_13430_flanking_seq	chr11	98.020	101	2	0	1	101	1087799	1087899	3.96e-43	176
solcap_snp_c2_26654_flanking_seq	chr08	99.010	101	1	0	1	101	56732346	56732446	8.51e-45	182
solcap_snp_c1_9411_flanking_seq	chr01	99.010	101	1	0	1	101	88228976	88229076	8.51e-45	182
solcap_snp_c1_9411_flanking_seq	chr01	88.235	102	10	2	1	101	88204459	88204559	1.88e-26	121
solcap_snp_c2_46048_flanking_seq	chr06	98.020	101	2	0	1	101	10322549	10322449	3.96e-43	176
solcap_snp_c2_58200_flanking_seq	chr04	99.010	101	1	0	1	101	11275729	11275829	8.51e-45	182
solcap_snp_c2_58200_flanking_seq	chr04	99.010	101	1	0	1	101	11299694	11299794	8.51e-45	182
solcap_snp_c2_58200_flanking_seq	chr04	99.010	101	1	0	1	101	11275729	11275829	8.51e-45	182
solcap_snp_c2_58200_flanking_seq	chr04	99.010	101	1	0	1	101	11299694	11299794	8.51e-45	182
solcap_snp_c2_47037_flanking_seq	chr02	100.000	101	0	0	1	101	32116895	32116995	1.83e-46	187
solcap_snp_c2_40295_flanking_seq	chr08	98.020	101	2	0	1	101	49478665	49478765	3.96e-43	176
solcap_snp_c1_8291_flanking_seq	chr08	99.010	101	1	0	1	101	56376550	56376650	8.51e-45	182
